source,target
Brown adipose tissue_Cox8b high(Neonatal-Skin),"dermis lymphatic vessel endothelial cell:epithelial cell of skin gland:neuromast support cell:dermis blood vessel endothelial cell:|||:brown fat cell:myofibroblast cell:beige adipocyte:plasmacytoid dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neuron of the ventral spinal cord:epithelial cell of glomerular capsule:neuroglioblast (sensu Nematoda):adipocyte of epicardial fat of right ventricle:|||:immature single positive thymocyte:adult endothelial progenitor cell:type II pneumocyte:type I pneumocyte"
Brown adipose tissue_mt-Nd5 high(Neonatal-Skin),"dermis lymphatic vessel endothelial cell:neuromast support cell:dermis blood vessel endothelial cell:fibroblast of dermis:|||:brown fat cell:type II pneumocyte:plasmacytoid dendritic cell:fat cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neuroglioblast (sensu Nematoda and Protostomia):neuron associated cell (sensu Nematoda and Protostomia):fibroblast of pedal digit skin:blood cell (sensu Nematoda and Protostomia):|||:neuron:mucosal type mast cell:eosinophil progenitor cell:oligodendrocyte"
Cardiac muscle cell(Neonatal-Heart),"cardiac muscle myoblast:cardiac septum cell:smooth muscle cell of the pulmonary artery:epicardial adipocyte:|||:cardiac muscle cell:muscle cell:Be cell:regular cardiac myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cardiac muscle cell (sensu Arthopoda):regular ventricular cardiac myocyte:regular atrial cardiac myocyte:myocyte of sinoatrial node:|||:Feyrter cell:T cell:M cell of gut:parafollicular cell"
Cartilage cell_Clu high(Neonatal-Rib),"adaxial cell:|||:chondrocyte:kidney granular cell:Be cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:adipocyte of epicardial fat of right ventricle:cardiac muscle cell (sensu Arthopoda):adipocyte of epicardial fat of left ventricle:cardiac pacemaker cell of sinoatrial node:|||:nodal myocyte:type N enteroendocrine cell:T cell:type G enteroendocrine cell"
Cartilage cell_Col2a1 high(Neonatal-Rib),"adaxial cell:|||:chondrocyte:kidney granular cell:Be cell:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:adipocyte of epicardial fat of right ventricle:adipocyte of epicardial fat of left ventricle:cardiac muscle cell (sensu Arthopoda):cardiac pacemaker cell of sinoatrial node:|||:T cell:M cell of gut:B cell:type N enteroendocrine cell"
Cartilage cell_Cxcl14 high(Neonatal-Rib),"adaxial cell:|||:chondrocyte:kidney granular cell:Be cell:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:adipocyte of epicardial fat of right ventricle:cardiac muscle cell (sensu Arthopoda):cardiac pacemaker cell of sinoatrial node:adipocyte of epicardial fat of left ventricle:|||:type N enteroendocrine cell:type G enteroendocrine cell:M cell of gut:T cell"
Cartilage cell_Ppa1 high(Neonatal-Rib),"adaxial cell:|||:chondrocyte:Be cell:kidney granular cell:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:adipocyte of epicardial fat of right ventricle:cardiac muscle cell (sensu Arthopoda):cardiac pacemaker cell of sinoatrial node:myocardial endocrine cell of atrium:|||:type N enteroendocrine cell:parafollicular cell:nodal myocyte:T cell"
Cartilage cell_Prg4 high(Neonatal-Rib),"adaxial cell:|||:chondrocyte:Be cell:kidney granular cell:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:adipocyte of epicardial fat of right ventricle:cardiac muscle cell (sensu Arthopoda):pro-NK cell:mast cell progenitor:|||:type G enteroendocrine cell:parafollicular cell:B cell:type D enteroendocrine cell"
Cell in cell cycle(Fetal_Kidney),"kidney inner medulla cell:epithelial cell of glomerular capsule:interlobular vein cell:kidney inner medulla collecting duct epithelial cell:|||:kidney cell:Be cell:type D enteroendocrine cell:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:retinal ganglion cell:chromaffin cell of left ovary:pillar cell:epithelial cell of large intestine:|||:type N enteroendocrine cell:natural killer cell:type G enteroendocrine cell:Feyrter cell"
Chondrocyte(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:chondrocyte:oocyte:monocyte:tendon cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:articular chondrocyte of knee joint:smooth muscle cell:osteoclast:podocyte (sensu Diptera):|||:mesenchymal stem cell:ionocyte:oncocyte:CD14-positive monocyte"
