source,target
Epithelium of small intestinal villi_mt-Nd1 high(Small-Intestine),"enterocyte of epithelium of small intestine:microfold cell of epithelium of small intestine:enterocyte of epithelium of duodenal gland:pancreatic goblet cell:|||:type D cell of small intestine:paneth cell of epithelium of small intestine:epithelial cell of small intestine:enterocyte of epithelium of intestinal villus:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:intestinal villus goblet cell:microfold cell of epithelium of intestinal villus:small intestine goblet cell:enterocyte of epithelium of crypt of Lieberkuhn of small intestine:|||:retinal cell:Leydig cell:epithelial cell:enterochromaffin-like cell"
Erythroblast(Bone-Marrow),"mesodermal cell:leukocyte:bone cell:|||:erythroblast:proerythroblast:ooblast:basophilic erythroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neuroglioblast (sensu Nematoda):orthochromatic erythroblast:common myeloid progenitor:common myeloid progenitor, CD34-positive:|||:cystoblast:bronchioalveolar stem cell:myoblast:thromboblast"
Erythroblast(Neonatal-Calvaria),"calvarial osteoblast:|||:erythroblast:ooblast:orthochromatic erythroblast:proerythroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neuroblast (sensu Nematoda and Protostomia):fibroblast of peridontal ligament:neuroblast (sensu Vertebrata):neuroglioblast (sensu Nematoda and Protostomia):|||:cystoblast:thromboblast:myoblast:bronchioalveolar stem cell"
Erythroblast(Neonatal-Skin),"epithelial cell of skin gland:neuromast mantle cell:fibroblast of dermis:neuromast support cell:|||:erythroblast:ooblast:proerythroblast:cystoblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neuroblast (sensu Vertebrata):basophilic erythroblast:neuroglioblast (sensu Nematoda):orthochromatic erythroblast:|||:thromboblast:myoblast:bronchioalveolar stem cell:xanthoblast"
Erythroblast(Small-Intestine),"enterocyte of epithelium of small intestine:microfold cell of epithelium of small intestine:pancreatic goblet cell:enteric smooth muscle cell:|||:erythroblast:ooblast:orthochromatic erythroblast:cystoblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:small intestine goblet cell:epithelial cell of small intestine:type D cell of small intestine:proerythroblast:|||:thromboblast:bronchioalveolar stem cell:myoblast:Bm3 B cell"
Erythroblast(Spleen),"mesodermal cell:marginal zone B cell:mesenchymal stem cell of abdominal adipose:splenic metallophillic macrophage:|||:erythroblast:ooblast:orthochromatic erythroblast:cystoblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:proerythroblast:basophilic erythroblast:pigment erythroblast:Bm3 B cell:|||:Kit-low proerythroblast:myoblast:polychromatophilic erythroblast:thromboblast"
Erythroblast_Car1 high(Muscle),"cell of skeletal muscle:adaxial cell:|||:erythroblast:ooblast:orthochromatic erythroblast:proerythroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle myoblast:basophilic erythroblast:trophoblast cell:erythroid progenitor cell:|||:cystoblast:thromboblast:bronchioalveolar stem cell:mesenchymal stem cell"
Erythroblast_Car2 high(Muscle),"cell of skeletal muscle:adaxial cell:|||:erythroblast:ooblast:orthochromatic erythroblast:cystoblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle myoblast:proerythroblast:basophilic erythroblast:trophoblast cell:|||:myoblast:bronchioalveolar stem cell:thromboblast:mesenchymal stem cell"
Erythroblast_Car2 high(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:erythroblast:ooblast:orthochromatic erythroblast:cystoblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle myoblast:secondary trophoblast giant cell:interlobulary vein smooth muscle cell:neuroblast (sensu Vertebrata):|||:proerythroblast:myoblast:mesenchymal stem cell:bronchioalveolar stem cell"
Erythroblast_Car2 high(Peripheral_Blood),"vascular associated smooth muscle cell:mesodermal cell:|||:erythroblast:pigmented ciliary epithelial cell:proerythroblast:ooblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cardioblast (sensu Arthropoda):secondary trophoblast giant cell:neuroblast (sensu Vertebrata):primary trophoblast giant cell:|||:cystoblast:myoblast:bronchioalveolar stem cell:thromboblast"
Erythroblast_Hba-a1 high(Neonatal-Rib),"adaxial cell:|||:erythroblast:ooblast:proerythroblast:cystoblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neuroblast (sensu Vertebrata):secondary trophoblast giant cell:neuroglioblast (sensu Nematoda):neuroblast (sensu Nematoda and Protostomia):|||:thromboblast:myoblast:bronchioalveolar stem cell:notochordal vacuole cell"
Erythroblast_Hba-a2 high(Peripheral_Blood),"vascular associated smooth muscle cell:mesodermal cell:|||:pigmented ciliary epithelial cell:erythroblast:proerythroblast:ooblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cardioblast (sensu Arthropoda):secondary trophoblast giant cell:neuroblast (sensu Vertebrata):neuroglioblast (sensu Nematoda):|||:cystoblast:bronchioalveolar stem cell:myoblast:thromboblast"
Erythroblast_Hbb-bs high(Liver),"mesodermal cell:intrahepatic cholangiocyte:epithelial cell of alimentary canal:endothelial cell of hepatic sinusoid:|||:erythroblast:proerythroblast:ooblast:basophilic erythroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:secondary trophoblast giant cell:neuroblast (sensu Vertebrata):pigment erythroblast:orthochromatic erythroblast:|||:cystoblast:myoblast:bronchioalveolar stem cell:thromboblast"
Erythroblast_Hbb-bs high(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:erythroblast:ooblast:orthochromatic erythroblast:proerythroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle myoblast:secondary trophoblast giant cell:neuroblast (sensu Vertebrata):primary trophoblast giant cell:|||:cystoblast:mesenchymal stem cell:thromboblast:myoblast"
Erythroblast_Hbb-bs high(Testis),"primitive red blood cell:embryonic fibroblast:gestational hematopoietic stem cell:seminiferous tubule epithelial cell:|||:erythroblast:ooblast:orthochromatic erythroblast:cystoblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:proerythroblast:basophilic erythroblast:secondary trophoblast giant cell:pigment erythroblast:|||:bronchioalveolar stem cell:thromboblast:myoblast:Bm3 B cell"
Erythroblast_Hbb-bt high(Liver),"mesodermal cell:intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:|||:erythroblast:proerythroblast:ooblast:basophilic erythroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:secondary trophoblast giant cell:neuroblast (sensu Vertebrata):orthochromatic erythroblast:pigment erythroblast:|||:cystoblast:bronchioalveolar stem cell:myoblast:thromboblast"
Erythroblast_Hbb-bt high(Pancreas),"epithelial cell of exocrine pancreas:pancreatic D cell:pancreatic acinar cell:type B pancreatic cell:|||:erythroblast:ooblast:basophilic erythroblast:orthochromatic erythroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:secondary trophoblast giant cell:primary trophoblast giant cell:trophoblast giant cell:proerythroblast:|||:cystoblast:bronchioalveolar stem cell:pancreatic stellate cell:thromboblast"
Erythroblast_Igkc high(Pancreas),"epithelial cell of exocrine pancreas:pancreatic acinar cell:type B pancreatic cell:pancreatic D cell:|||:erythroblast:ooblast:basophilic erythroblast:orthochromatic erythroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:secondary trophoblast giant cell:trophoblast cell:trophoblast giant cell:primary trophoblast giant cell:|||:cystoblast:proerythroblast:myoblast:bronchioalveolar stem cell"
Erythroblast_Ttr high(Neonatal-Rib),"adaxial cell:|||:erythroblast:ooblast:cystoblast:proerythroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neuroblast (sensu Vertebrata):neuroglioblast (sensu Nematoda):secondary trophoblast giant cell:primary trophoblast giant cell:|||:thromboblast:bronchioalveolar stem cell:myoblast:notochordal vacuole cell"
Erythrocyte progenitor_Car1 high(Bone-Marrow_c-kit),"leukocyte:mesodermal cell:bone cell:|||:erythrocyte:oocyte:bone marrow cell:astrocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:erythroid progenitor cell:erythroid progenitor cell, mammalian:megakaryocyte progenitor cell:common lymphoid progenitor:|||:thymocyte:tendon cell:cortical thymic epithelial cell:megakaryocyte-erythroid progenitor cell"
Erythrocyte progenitor_Hba-a1 high(Bone-Marrow_c-kit),"leukocyte:mesodermal cell:bone cell:|||:erythrocyte:oocyte:bone marrow cell:astrocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:erythroid progenitor cell, mammalian:erythroid progenitor cell:megakaryocyte progenitor cell:common lymphoid progenitor:|||:thymocyte:megakaryocyte-erythroid progenitor cell:tendon cell:cortical thymic epithelial cell"
Fenestrated endothelial cell_Plvap high(Kidney),"parietal epithelial cell:glomerular capillary endothelial cell:macula densa epithelial cell:kidney proximal straight tubule epithelial cell:|||:endothelial cell:gut endothelial cell:glial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stratified epithelial cell:vein endothelial cell:endothelial cell of artery:corneal endothelial cell:|||:urothelial cell:Kolmer-Agduhr neuron:aortic endothelial cell:type N enteroendocrine cell"
Fenestrated endothelial cell_Tm4sf1 high(Kidney),"macula densa epithelial cell:glomerular capillary endothelial cell:parietal epithelial cell:kidney proximal straight tubule epithelial cell:|||:endothelial cell:glial cell:gut endothelial cell:mesothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stratified epithelial cell:vein endothelial cell:corneal endothelial cell:endocardial cell:|||:urothelial cell:Kolmer-Agduhr neuron:M cell of gut:B cell"
G cell(Stomach),"mucous cell of stomach:gastric goblet cell:|||:type G enteroendocrine cell:type D cell of stomach:kidney granular cell:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:peptic cell:glandular cell of stomach:type A cell of stomach:foveolar cell of stomach:|||:Feyrter cell:type D enteroendocrine cell:M cell of gut:type N enteroendocrine cell"
Gastric mucosal cell(Stomach),"mucous cell of stomach:gastric goblet cell:|||:Slamf1-positive multipotent progenitor cell:Kolmer-Agduhr neuron:parafollicular cell:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:surface mucosal cell of stomach:cardiac muscle cell (sensu Arthopoda):peptic cell:type A cell of stomach:|||:M cell of gut:T cell:type G enteroendocrine cell:Feyrter cell"
Glandular epithelium(Prostate),"epithelial cell of prostatic acinus:epithelial cell of prostatic duct:luminal epithelial cell of prostatic duct:basal epithelial cell of prostatic duct:|||:induced T-regulatory cell:band form neutrophil:glandular epithelial cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endocrine-paracrine cell of prostate gland:type II pneumocyte:glandular cell of stomach:follicular epithelial cell:|||:fibroblast of connective tissue of glandular part of prostate:fibroblast of connective tissue of nonglandular part of prostate:pericyte cell:early T lineage precursor"
Glandular epithelium_Ltf high(Uterus),"glandular cell of endometrium:placental epithelial cell:epithelial cell of cervix:endometrial microvascular endothelial cells:|||:glandular epithelial cell:band form neutrophil:epithelial cell:adult endothelial progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:glandular cell of esophagus:epithelial cell of uterus:granular cell of epidermis:endocrine-paracrine cell of prostate gland:|||:naive thymus-derived CD4-positive, alpha-beta T cell:early lymphoid progenitor:pericyte cell:early T lineage precursor"
Glandular epithelium_Sprr2f high(Uterus),"glandular cell of endometrium:placental epithelial cell:epithelial cell of cervix:endometrial microvascular endothelial cells:|||:band form neutrophil:glandular epithelial cell:adult endothelial progenitor cell:intraepithelial lymphocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:glandular cell of the large intestine:glandular cell of esophagus:ileal goblet cell:enterocyte of epithelium proper of ileum:|||:immature single positive thymocyte:T follicular helper cell:T-helper 9 cell:pericyte cell"
Glial cell(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:glial cell:Bergmann glial cell:type N enteroendocrine cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:sheath cell (sensu Nematoda):epithelial cell of distal tubule:epithelial cell of thymus:endothelial cell of venule:|||:Kolmer-Agduhr neuron:Feyrter cell:B cell:nodal myocyte"
