source,target
Cd34+,":|||:type II pneumocyte:conventional dendritic cell:plasmacytoid dendritic cell:immature single positive thymocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD4-positive CD11b-positive dendritic cell:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:common dendritic progenitor:group 3 innate lymphoid cell:|||:CD38-positive unswitched memory B cell:CD34-positive, CD38-negative hematopoietic stem cell:CD34-positive, CD38-negative multipotent progenitor cell:CD34-positive, CD38-positive common lymphoid progenitor"
Cd36+,":|||:early T lineage precursor:endothelial cell of lymphatic vessel:embryonic stem cell:common dendritic progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD16-positive myeloid dendritic cell:conventional dendritic cell:group 3 innate lymphoid cell:CD8-positive, alpha-beta regulatory T cell:|||:CD38-positive naive B cell:CD38-positive IgG memory B cell:B220-positive CD38-positive naive B cell:CD38-positive unswitched memory B cell"
Cd3e T cell,"marginal zone B cell:mesodermal cell:mesenchymal stem cell of abdominal adipose:splenic metallophillic macrophage:|||:T cell:B cell:nodal myocyte:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:gamma-delta T cell:mature T cell:Tc1 cell:Tc2 cell:|||:M cell of gut:Feyrter cell:parafollicular cell:type D enteroendocrine cell"
Cd4 positive Macrophages,"mesodermal cell:bone cell:leukocyte:|||:macrophage:Kupffer cell:inflammatory macrophage:alternatively activated macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:adipose macrophage:effector memory CD4-positive, alpha-beta T cell, terminally differentiated:F4/80-positive adipose macrophage:elicited macrophage:|||:tissue-resident macrophage:central nervous system macrophage:Kit-positive macrophage dendritic cell progenitor:thymic macrophage"
Ciliated,"epithelial cell of lung:mesodermal cell:pneumocyte:mesothelial cell of visceral pleura:|||:single ciliated epithelial cell:multi-ciliated epithelial cell:club cell:common lymphoid progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:ciliated cell:cardioblast:ciliated olfactory receptor neuron:brush cell:|||:ciliated columnar cell of tracheobronchial tree:ciliated cell of the bronchus:ciliated epithelial cell:ciliated epithelial cell of esophagus"
Ciliated Cell,"epithelial cell of lung:mesodermal cell:pneumocyte:mesothelial cell of visceral pleura:|||:ciliated cell:type D enteroendocrine cell:double-positive, alpha-beta thymocyte:Be cell:|||:ciliated cell:cartwheel heterochromatin:transitional stage B cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:multi-ciliated epithelial cell:brush cell:nucleate cell:cultured cell"
Classical Monocyte,"pneumocyte:epithelial cell of lung:mesodermal cell:brush cell of lobular bronchiole:|||:monocyte:classical monocyte:CD14-positive monocyte:oncocyte:|||:classical monocyte:cartwheel heterochromatin:eosinophilic myeloblast:gamma-delta intraepithelial T cell:|||:non-classical monocyte:Gr1-high classical monocyte:CD14-low, CD16-positive monocyte:Gr1-low non-classical monocyte"
Club,"mesodermal cell:brush cell of lobular bronchiole:epithelial cell of lung:serous cell of epithelium of lobular bronchiole:|||:enterochromaffin-like cell:common lymphoid progenitor:retinal ganglion cell:lung microvascular endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:club cell:basophil progenitor cell:placental villous trophoblast:mesenchymal stem cell:|||:columnar cell of endocervix:enterocyte of epithelium of large intestine:endothelial cell of vascular tree:reticular cell"
Club Cell,mesodermal cell:epithelial cell of lung:pneumocyte:mesothelial cell of visceral pleura:|||:club cell:B cell:B-2 B cell:B-1 B cell:|||:club cell:cartwheel heterochromatin:transitional stage B cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:|||:parafollicular cell:germinal center B cell:cumulus cell:Be cell
"DN to DP transition (most are Cd8+/ Cd4+, some undergoing VDJ recombination)","pulmonary interstitial fibroblast:thymic cortical macrophage:cortical thymic epithelial cell:thymic medullary macrophage:|||:transitional myocyte:transitional stage B cell:naive thymus-derived CD4-positive, alpha-beta T cell:retinal ganglion cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:transitional myocyte of middle internodal tract:transitional myocyte of internodal tract:transitional myocyte of atrial branch of anterior internodal tract:transitional myocyte of posterior internodal tract:|||:conventional dendritic cell:pericyte cell:endothelial cell of lymphatic vessel:mesenchymal stem cell"
