source	target
B cell (Plasmocyte)_IGHM/HA_IGL high	"pancreatic goblet cell:epithelial cell of small intestine:enteric smooth muscle cell:smooth muscle cell of small intestine:|||:plasma cell:B cell:marginal zone B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:brush cell of terminal bronchiole:basal cell of epithelium of terminal bronchiole:type B pancreatic cell:basal cell of olfactory epithelium:|||:B-1 B cell:Be cell:muscle cell:type D enteroendocrine cell"
B cell (Plasmocyte)_IGHM/HG high	"intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:mesodermal cell:|||:plasma cell:B cell:muscle cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:embryonic gland plasmatocyte:lymph gland plasmatocyte:pre-B-I cell:pro-B cell:|||:B-2 B cell:B-1 B cell:M cell of gut:type N enteroendocrine cell"
B cell (Plasmocyte)_IGLV3-1 high	":|||:B cell:plasma cell:follicular B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:embryonic gland plasmatocyte:pre-B-I cell:type B pancreatic cell:basal cell of epithelium of terminal bronchiole:|||:B-1 B cell:Be cell:muscle cell:plasmatocyte"
B cell (centrocyte)	"splenocyte:splenic endothelial cell:splenic fibroblast:mesodermal cell:|||:Bm4 B cell:B cell:enterocyte:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cementocyte:keratocyte:columnar chondrocyte:dermal melanocyte:|||:Be cell:B-2 B cell:Feyrter cell:nodal myocyte"
B cell(Centrocyte)	"mesodermal cell:vascular associated smooth muscle cell:|||:Bm4 B cell:B cell:enterocyte:follicular B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cementocyte:splenocyte:neutrophil:melanocyte:|||:Be cell:B-1 B cell:B-2 B cell:M cell of gut"
B cell(Centrocyte)_IGLC2 high	"type B pancreatic cell:pancreatic PP cell:pancreatic D cell:pancreatic centro-acinar cell:|||:B cell:Bm4 B cell:enterocyte:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cementocyte:brush cell of terminal bronchiole:astrocyte:basal cell of urothelium:|||:B-1 B cell:B-2 B cell:parafollicular cell:M cell of gut"
B cell(Centrocyte)_IGLL1 high	"pancreatic centro-acinar cell:type B pancreatic cell:pancreatic PP cell:pancreatic D cell:|||:B cell:Bm4 B cell:enterocyte:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:cementocyte:astrocyte:Be cell:basal cell of urothelium:|||:B-2 B cell:M cell of gut:type D enteroendocrine cell:T cell"
B cell(Plasmocyte)	"mesodermal cell:|||:B cell:plasma cell:Be cell:muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmatocyte:melanocyte:embryonic gland plasmatocyte:lymph gland plasmatocyte:|||:B-1 B cell:B-2 B cell:T cell:oocyte"
B cell(Plasmocyte)_IGHG1 high	"epithelial cell of small intestine:smooth muscle cell of small intestine:enteric smooth muscle cell:|||:B cell:plasma cell:marginal zone B cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmatocyte:embryonic gland plasmatocyte:pro-B cell:type B pancreatic cell:|||:B-2 B cell:muscle cell:B-1 B cell:type D enteroendocrine cell"
B cell(Plasmocyte)_IGHG4 high	"vascular associated smooth muscle cell:mesodermal cell:|||:B cell:plasma cell:follicular B cell:B-2 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:plasmatocyte:embryonic gland plasmatocyte:lymph gland plasmatocyte:type B pancreatic cell:|||:B-1 B cell:Be cell:muscle cell:Feyrter cell"
